,Regions,DISTRICT,settlement,period,FMEB_max,FMEB_min,FMEB_median
1,South West,Hoima,Kyangwali,Bi 2 - April,427050,434250,434250
2,South West,Hoima,Kyangwali,"NA - 	March",372075,373515,373515
3,South West,Isingiro,Nakivale,Bi 2 - April,298280,302113.3333,302113.3333
4,South West,Isingiro,Nakivale,"NA - 	March",314572.8571,322239.5238,322239.5238
5,South West,Isingiro,Oruchinga,Bi 2 - April,461783.3333,465720.8333,465720.8333
6,South West,Isingiro,Oruchinga,"NA - 	March",465966.5067,468995.3529,468995.3529
7,South West,Kamwenge,Rwamwanja,Bi 2 - April,406500,410111.1111,410111.1111
8,South West,Kamwenge,Rwamwanja,"NA - 	March",461362.4934,463468.9749,463468.9749
9,South West,Kiryandongo,Kiryandongo,Bi 2 - April,486000,488500,488500
10,South West,Kiryandongo,Kiryandongo,"NA - 	March",497299.9995,498490.4758,498490.4758
11,South West,Kyegegwa,Kyaka II,Bi 2 - April,404564.2982,411764.2982,411764.2982
12,South West,Kyegegwa,Kyaka II,"NA - 	March",436219.6484,441191.077,441191.077
13,West Nile,Adjumani,Adjumani,Bi 2 - April,560742.8571,565171.4286,565171.4286
14,West Nile,Arua,Imvepi,Bi 2 - April,488254.6875,492754.6875,492754.6875
15,West Nile,Arua,Rhino,Bi 1 - May,426850,430516.6667,430516.6667
16,West Nile,Arua,Rhino,Bi 2 - April,463750,467416.6667,467416.6667
17,West Nile,Arua,Rhino,"NA - 	March",492625,494458.3333,494458.3333
18,West Nile,Koboko,Lobule,Bi 2 - April,NA,NA,NA
19,West Nile,Koboko,Lobule,"NA - 	March",NA,NA,NA
20,West Nile,Lamwo,Palabek,Bi 2 - April,437397.619,442540.4762,442540.4762
21,West Nile,Lamwo,Palabek,"NA - 	March",424814.2857,426758.2857,426758.2857
22,West Nile,Moyo,Palorinya,Bi 2 - April,499357.8947,511460.5263,511460.5263
23,West Nile,Moyo,Palorinya,"NA - 	March",410087.5288,414081.3369,414081.3369
24,West Nile,Yumbe,Bidibidi,Bi 2 - April,347967.8571,351682.1429,351682.1429
25,West Nile,Yumbe,Bidibidi,"NA - 	March",411146.0874,412634.1828,412634.1828
