"","Regions","DISTRICT","settlement","period","price_maize_g","price_maize_f","price_millet_f","price_beans","price_sorghum","price_oil","price_cassava","price_salt","price_dodo","price_milk","price_soap","price_firewood","price_charcoal","price_fish","price_underwear","price_pads","price_NKP","price_DAP","price_malathion","monthly_HH_cereals","monthly_HH_beans","monthly_HH_sorghum","monthly_HH_oil","monthly_HH_cassava","monthly_HH_salt","monthly_HH_leaves","monthly_HH_fish","monthly_HH_milk","FMEB"
"1","South West","Hoima","Kyangwali","Bi 2 - April",1000,3000,4000,3450,1800,7000,2000,2000,1000,2000,4000,2750,7750,6000,3000,3000,37500,40000,19000,43500,93150,13500,26250,6000,1500,15000,18000,3000,
"2","South West","Hoima","Kyangwali","NA - 	March",600,2400,3600,3000,1300,6000,450,1800,1750,2000,,,,18500,,,,,,26100,81000,9750,22500,1350,1350,26250,55500,3000,228525
"3","South West","Isingiro","Nakivale","Bi 2 - April",1000,2000,3000,2500,1500,6000,1000,1100,1000,1000,3500,2000,8250,,2500,3000,,,,43500,67500,11250,22500,3000,825,15000,,1500,
"4","South West","Isingiro","Nakivale","NA - 	March",800,2000,3600,3000,1500,5600,2000,2000,2000,1000,3500,,2000,16000,,3000,,,,34800,81000,11250,21000,6000,1500,30000,48000,1500,254400
"5","South West","Isingiro","Oruchinga","Bi 2 - April",1000,2000,4000,2800,1500,5500,1000,1500,1000,1000,3750,,10000,,3000,3000,,,,43500,75600,11250,20625,3000,1125,15000,,1500,
"6","South West","Isingiro","Oruchinga","NA - 	March",800,2000,4000,2800,1500,6000,800,2000,1428.5714,1000,2500,,2000,20000,,3000,,,,34800,75600,11250,22500,2400,1500,21428.571,60000,1500,233356.4184
"7","South West","Kamwenge","Rwamwanja","Bi 2 - April",1000,2500,3500,3500,,6000,1000,1000,500,1000,3500,,7000,,,3000,,,,43500,94500,,22500,3000,750,7500,,1500,
"8","South West","Kamwenge","Rwamwanja","NA - 	March",925,2000,2250,3250,1650,5625,583.33335,2800,1458.33335,1000,3000,,1000,20416.665,,3000,,,,40237.5,87750,12375,21093.75,1750.00005,2100,21875.00025,61249.995,1500,249931.2453
"9","South West","Kiryandongo","Kiryandongo","Bi 2 - April",1200,2500,4000,4000,1200,7000,1000,1000,150,1900,4250,3000,10000,,,,,,,52200,108000,9000,26250,3000,750,2250,,2850,
"10","South West","Kiryandongo","Kiryandongo","NA - 	March",1200,2400,4000,4000,1000,6000,434.7826,1400,3333.3333,1600,4000,2000,1000,20000,,3500,,,,52200,108000,7500,22500,1304.3478,1050,49999.9995,60000,2400,305078.571
"11","South West","Kyegegwa","Kyaka II","Bi 2 - April",1200,2500,3000,2900,2000,6000,1000,1000,500,1000,3500,,8000,,,3500,,,,52200,78300,15000,22500,3000,750,7500,,1500,
"12","South West","Kyegegwa","Kyaka II","NA - 	March",950,2250,3000,3500,2000,5625,666.6667,2800,1666.66665,1000,3900,,1000,16666.67,,3000,,,,41325,94500,15000,21093.75,2000.0001,2100,24999.99975,50000.01,1500,245949.9996
"13","West Nile","Adjumani","Adjumani","Bi 2 - April",1550,2750,4000,4500,1500,6000,1500,1750,750,2000,3300,4000,6000,10000,3000,3000,,,,67425,121500,11250,22500,4500,1312.5,11250,30000,3000,
"14","West Nile","Arua","Imvepi","Bi 2 - April",1500,2500,3500,5000,1800,5000,1000,1500,200,2000,3300,1000,4500,5000,2000,2500,,,,65250,135000,13500,18750,3000,1125,3000,15000,3000,257625
"15","West Nile","Arua","Rhino","Bi 1 - May",1250,1500,4000,4200,1350,5500,,800,100,,3300,,4500,,,,,,,54375,113400,10125,20625,,600,1500,,,
"16","West Nile","Arua","Rhino","Bi 2 - April",1500,2500,3000,4500,1500,6000,1000,1500,200,2000,3300,1500,5000,4500,4000,2250,,,,65250,121500,11250,22500,3000,1125,3000,13500,3000,250312.5
"17","West Nile","Arua","Rhino","NA - 	March",1250,2500,5000,3583.3335,1000,6250,392.85715,4000,2000,,2000,2000,1000,12500,,3000,,,,54375,96750.0045,7500,23437.5,1178.57145,3000,30000,37500,,
"18","West Nile","Koboko","Lobule","Bi 2 - April",1500,2500,3000,5000,1000,5750,1000,1200,100,1000,3300,2000,5000,5000,1750,2500,40000,40000,6000,65250,135000,7500,21562.5,3000,900,1500,15000,1500,253012.5
"19","West Nile","Koboko","Lobule","NA - 	March",1125,3333.333,3333.333,3750,1180.55555,5500,1333.3333,1600,833.3333,2000,2000,2000,550,17500,,3000,,,,48937.5,101250,8854.166625,20625,3999.9999,1200,12499.9995,52500,3000,264815.385
"20","West Nile","Lamwo","Palabek","Bi 2 - April",1200,2500,3000,3500,1300,6000,1000,1500,500,1900,3300,1000,5000,6000,3500,3000,,,,52200,94500,9750,22500,3000,1125,7500,18000,2850,
"21","West Nile","Lamwo","Palabek","NA - 	March",1000,3750,3500,2500,1000,5000,378,5000,2533,1200,,,,20000,,,,,,43500,67500,7500,18750,1134,3750,37995,60000,1800,252684
"22","West Nile","Moyo","Palorinya","Bi 2 - April",1500,2400,3000,4000,1500,6000,2000,1500,200,2000,3300,3000,5000,5000,1750,2500,40000,40000,25000,65250,108000,11250,22500,6000,1125,3000,15000,3000,249525
"23","West Nile","Moyo","Palorinya","NA - 	March",1339.2857,1547.619,3333.333,2000,954.54545,5000,588.2353,1900,3095.2381,2000,2000,3000,6000,11111.11,,3000,,,,58258.92795,54000,7159.090875,18750,1764.7059,1425,46428.5715,33333.33,3000,228973.0359
"24","West Nile","Yumbe","Bidibidi","Bi 2 - April",1200,2300,3500,3000,1000,5000,1000,1500,200,1000,3300,3000,5500,5000,1000,2000,,,,52200,81000,7500,18750,3000,1125,3000,15000,1500,193912.5
"25","West Nile","Yumbe","Bidibidi","NA - 	March",1052.6316,3333.333,4166.6665,3333.333,909.0909,5000,416.6667,1400,3333.3333,1000,2000,2000,1000,16666.67,,3000,,,,45789.4746,89999.991,6818.18175,18750,1250.0001,1050,49999.9995,50000.01,1500,266796.75375
